id;type_id;date;ref_no;description;other_cost;subtotal;total_tax;disc;disc_percent_status;status;created_by;created_date;last_modified_by;last_modified_date;record_status_id
1;75409;2020-12-07;Auto Loan Account;GB;85918;69694;62870;91284;false;In;intranet;2020-12-07T06:26:26;non-volatile Chief Corporate;2020-12-06T18:56:05;7711
2;82505;2020-12-07;Savings Account;mobile Wyoming Handmade Fresh Mouse;37398;37753;17872;30121;false;Pr;Direct Sleek;2020-12-06T20:56:15;alarm Metical Streamlined;2020-12-07T08:37:07;82074
3;11338;2020-12-06;Borders Music;artificial intelligence;79688;51343;53355;92687;true;Dy;clicks-and-mortar Metal;2020-12-07T02:58:03;Buckinghamshire New Israeli Sheqel;2020-12-07T06:26:18;69710
4;52494;2020-12-06;Applications;auxiliary;13364;36991;17227;8733;true;co;enterprise override;2020-12-06T16:32:18;Singapore Azerbaijanian Manat e-tailers;2020-12-06T16:00:13;88482
5;37011;2020-12-07;Cross-platform Books;integrate;58660;27213;98502;81904;true;Ca;Customer-focused;2020-12-07T12:33:46;e-markets;2020-12-07T12:29:06;2421
6;41903;2020-12-06;clicks-and-mortar;Metal Industrial lavender;60729;12137;88063;5836;false;Wo;revolutionary Tugrik;2020-12-07T00:14:46;North Carolina Accounts Home Loan Account;2020-12-07T13:27:34;59560
7;20165;2020-12-07;Optimization Incredi;granular;96183;79510;81753;10563;true;El;salmon Handcrafted;2020-12-07T12:53:17;Shoes;2020-12-06T22:09:44;61084
8;58690;2020-12-07;methodologies Money ;Dynamic Concrete;86723;65122;98097;50943;true;Bo;Afghani New York Overpass;2020-12-07T12:13:38;Gourde US Dollar Licensed Cotton Ball;2020-12-07T09:18:39;87731
9;4034;2020-12-06;Senior port;pixel Sleek;71603;65530;33546;83946;true;Ca;Personal Loan Account payment;2020-12-06T21:36:38;Ways Berkshire;2020-12-07T11:33:09;98555
10;65921;2020-12-07;next generation;cross-platform iterate;20558;52644;95574;36782;false;Ta;Circle;2020-12-07T05:47:18;driver;2020-12-06T22:18:36;26787
