id;type_id;qty;price;disc;disc_percent_status;tax;note;created_by;created_date;last_modified_by;last_modified_date;record_status_id
1;61322;37869;38737;72386;true;21808;Cambridgeshire copy ;Bacon Borders mobile;2020-12-06T16:14:51;IB Bedfordshire;2020-12-07T00:56:07;26237
2;56974;37527;67868;69149;true;30202;Dynamic Vermont faul;Grocery expedite;2020-12-07T13:03:08;Generic;2020-12-07T12:41:25;24729
3;32997;25989;47505;66798;false;21227;Operations Savings A;Fantastic Home Wisconsin;2020-12-06T21:58:35;tan monitor;2020-12-07T07:55:43;2604
4;34199;66904;54867;79483;true;96794;Towels copy Michigan;transmitting;2020-12-06T22:54:42;zero defect;2020-12-06T22:32:14;39550
5;59427;23923;39467;88899;false;4829;paradigm Customer;Handcrafted;2020-12-07T02:10:33;Salad Maryland Boliviano Mvdol;2020-12-07T11:21:16;60802
6;39889;9019;18028;35641;true;62240;ubiquitous transmitt;Bahrain circuit;2020-12-06T19:13:02;pixel;2020-12-07T14:09:59;47005
7;28531;95792;20803;9851;false;78478;dot-com;program;2020-12-06T18:59:27;Consultant Intelligent Soft Sausages;2020-12-07T12:12:40;63517
8;92419;94326;19039;77437;true;85390;program Keyboard sup;mobile grid-enabled compress;2020-12-06T17:35:11;compress;2020-12-07T09:10:49;22724
9;7819;73635;54664;89852;true;59159;moratorium migration;Plastic Peru connecting;2020-12-07T12:13:28;Alaska;2020-12-07T12:30:20;82876
10;89383;33659;78599;34018;false;2358;info-mediaries;Falkland Islands Pound;2020-12-06T21:05:11;Practical bifurcated SAS;2020-12-07T00:20:41;22376
