id;type_id;qty;price;disc;disc_percent_status;tax_amount;note;created_by;created_date;last_modified_by;last_modified_date;record_status_id
1;7991;24126;29760;15571;true;18419;Response infomediari;installation reinvent user-facing;2020-12-06T22:18:06;Islands;2020-12-06T16:47:03;87490
2;60908;94596;60400;11771;false;88836;invoice;alarm Virginia;2020-12-07T06:53:28;primary Practical Steel Bacon connect;2020-12-06T15:56:27;94752
3;55705;71372;67988;43459;false;54664;Bulgarian Lev Generi;Electronics;2020-12-07T06:42:03;Mews;2020-12-07T10:50:40;2631
4;26653;16190;10059;81867;false;39597;Product;deposit;2020-12-07T09:15:54;parse programming;2020-12-07T08:20:01;76290
5;92547;16326;18139;3553;false;33028;Refined Fresh Ball X;archive hacking;2020-12-07T11:53:03;Metal;2020-12-06T15:09:34;23580
6;48088;55177;68321;42744;true;49067;Functionality hard d;Hat Usability Chief;2020-12-07T12:04:42;JSON Tanzanian Shilling Fully-configurable;2020-12-06T15:48:19;34491
7;44438;34648;29756;55473;true;62483;Soft;Avon;2020-12-06T16:11:41;Kwanza Orchestrator;2020-12-06T19:44:51;98857
8;5670;78516;10452;64466;false;77866;Gloves grey index;Wyoming alarm payment;2020-12-07T12:03:08;systems CSS;2020-12-07T12:51:18;25749
9;42187;88757;85725;34468;true;14126;withdrawal;San Marino Reduced;2020-12-06T22:29:59;open-source Licensed;2020-12-06T22:24:30;1270
10;44627;7553;80923;32916;false;60330;Cambridgeshire Chick;Hat panel back up;2020-12-07T13:24:24;functionalities matrix dedicated;2020-12-07T13:34:05;47626
