id;code;name;tax_rage;description;created_by;created_date;last_modified_by;last_modified_date;record_status_id
1;Soft;Pre-emptive portals Home Loan ;7287;SDD granular Nebraska;incremental;2020-12-07T08:48:31;Fantastic;2020-12-06T23:33:15;9489
2;Check;Gourde US Dollar bypassing arc;8581;Implemented;Ohio cyan;2020-12-07T02:05:47;mint green;2020-12-06T19:47:36;72441
3;attit;deliverables;29275;EXE Ergonomic infrastructure;Computer;2020-12-06T21:37:03;Intelligent Norwegian Krone;2020-12-07T00:32:49;69807
4;culti;Engineer Dominican Peso;628;THX;Trace Metal Tasty;2020-12-07T10:45:38;Intranet Throughway paradigms;2020-12-07T09:15:17;12983
5;Small;Interactions synergistic;66383;Hawaii Specialist Licensed Wooden Shirt;Russian Federation Granite;2020-12-07T11:35:30;connect fuchsia sky blue;2020-12-07T02:11:58;30474
6;onlin;Licensed Home Loan Account;52100;Turkish Lira Customizable bus;Bacon;2020-12-07T08:04:06;circuit;2020-12-07T06:26:11;26100
7;allia;focus group hierarchy magnetic;38765;collaboration Coordinator Operations;driver PCI;2020-12-07T12:40:43;Concrete;2020-12-07T13:53:53;58005
8;commu;Buckinghamshire;96030;Gorgeous Concrete Plastic;deposit;2020-12-07T07:15:09;Cotton open architecture Gabon;2020-12-07T11:50:08;28997
9;Tuna ;upward-trending;11618;magenta Awesome Rubber Table product;cross-platform GB Gorgeous Cotton Ball;2020-12-06T18:33:59;RSS;2020-12-06T23:14:50;67272
10;drive;Trafficway IB Virtual;54899;THX Clothing India;Pants Djibouti Franc;2020-12-07T01:32:48;Pants;2020-12-06T18:54:30;5697
